#Timeout: 10
#Number of formulas: 1000
Formula;sat;time;aux
eq695.txt.smt2;sat;1.08;True
eq696.txt.smt2;sat;0.96;True
eq697.txt.smt2;sat;0.27;True
eq698.txt.smt2;sat;0.22;True
eq699.txt.smt2;sat;3.26;True
eq7.txt.smt2;sat;0.22;True
eq70.txt.smt2;sat;0.23;True
eq700.txt.smt2;sat;0.38;True
eq701.txt.smt2;sat;0.33;True
eq702.txt.smt2;sat;0.33;True
eq703.txt.smt2;sat;0.33;True
eq704.txt.smt2;sat;0.33;True
eq705.txt.smt2;sat;0.33;True
eq706.txt.smt2;sat;0.39;True
eq707.txt.smt2;sat;0.33;True
eq708.txt.smt2;sat;0.22;True
eq709.txt.smt2;sat;0.35;True
eq71.txt.smt2;sat;0.22;True
eq710.txt.smt2;sat;0.29;True
eq711.txt.smt2;sat;0.33;True
eq712.txt.smt2;sat;1.08;True
eq713.txt.smt2;sat;0.2;True
eq714.txt.smt2;sat;0.22;True
eq715.txt.smt2;sat;0.34;True
eq716.txt.smt2;sat;1.1;True
eq717.txt.smt2;sat;0.23;True
eq718.txt.smt2;sat;0.38;True
eq719.txt.smt2;sat;0.4;True
eq72.txt.smt2;sat;0.33;True
eq720.txt.smt2;sat;0.26;True
eq721.txt.smt2;sat;1.08;True
eq722.txt.smt2;sat;0.35;True
eq723.txt.smt2;sat;0.38;True
