# Timeout: 10
# Number of formulas: 1000
Formula; sat; time
eq399.txt.smt2; sat           ; 0.14
eq4.txt.smt2; sat             ; 0.04
eq40.txt.smt2; sat            ; 0.09
eq400.txt.smt2; sat           ; 0.07
eq401.txt.smt2; sat           ; 0.07
eq402.txt.smt2; sat           ; 0.09
eq403.txt.smt2; sat           ; 0.01
eq404.txt.smt2; sat           ; 0.06
eq405.txt.smt2; sat           ; 0.09
eq406.txt.smt2; sat           ; 0.1
eq407.txt.smt2; sat           ; 0.04
eq408.txt.smt2; sat           ; 0.08
eq409.txt.smt2; sat           ; 0.05
eq41.txt.smt2; sat            ; 0.07
eq410.txt.smt2; sat           ; 0.02
eq411.txt.smt2; sat           ; 0.04
eq412.txt.smt2; sat           ; 0.07
eq413.txt.smt2; sat           ; 0.1
eq414.txt.smt2; sat           ; 0.07
eq415.txt.smt2; sat           ; 0.03
eq416.txt.smt2; sat           ; 0.07
eq417.txt.smt2; sat           ; 0.08
eq418.txt.smt2; sat           ; 0.04
eq419.txt.smt2; sat           ; 0.02
eq42.txt.smt2; sat            ; 0.02
eq420.txt.smt2; sat           ; 0.03
eq421.txt.smt2; sat           ; 0.07
eq422.txt.smt2; sat           ; 0.07
eq423.txt.smt2; sat           ; 0.03
eq424.txt.smt2; sat           ; 0.06
eq425.txt.smt2; sat           ; 0.02
eq426.txt.smt2; sat           ; 0.06
eq427.txt.smt2; sat           ; 0.04
eq428.txt.smt2; sat           ; 0.03
eq429.txt.smt2; sat           ; 0.05
eq43.txt.smt2; sat            ; 0.03
eq430.txt.smt2; sat           ; 0.06
eq431.txt.smt2; sat           ; 0.06
eq432.txt.smt2; sat           ; 0.05
eq433.txt.smt2; sat           ; 0.04
eq434.txt.smt2; sat           ; 0.03
eq435.txt.smt2; sat           ; 0.06
eq436.txt.smt2; sat           ; 0.04
eq437.txt.smt2; sat           ; 0.09
eq438.txt.smt2; sat           ; 0.13
eq439.txt.smt2; sat           ; 0.04
eq44.txt.smt2; sat            ; 0.03
eq440.txt.smt2; sat           ; 0.03
eq441.txt.smt2; sat           ; 0.03
eq442.txt.smt2; sat           ; 0.09
eq443.txt.smt2; sat           ; 0.02
eq444.txt.smt2; sat           ; 0.03
eq445.txt.smt2; sat           ; 0.04
eq446.txt.smt2; sat           ; 0.1
eq447.txt.smt2; sat           ; 0.1
eq448.txt.smt2; sat           ; 0.02
eq449.txt.smt2; sat           ; 0.04
eq45.txt.smt2; sat            ; 0.09
eq450.txt.smt2; sat           ; 0.06
eq451.txt.smt2; sat           ; 0.04
eq452.txt.smt2; sat           ; 0.14
eq453.txt.smt2; sat           ; 0.1
eq454.txt.smt2; sat           ; 0.1
eq455.txt.smt2; sat           ; 0.1
eq456.txt.smt2; sat           ; 0.05
eq457.txt.smt2; sat           ; 0.05
eq458.txt.smt2; sat           ; 0.08
eq459.txt.smt2; sat           ; 0.04
eq46.txt.smt2; sat            ; 0.09
eq460.txt.smt2; sat           ; 0.04
eq461.txt.smt2; sat           ; 0.07
eq462.txt.smt2; sat           ; 0.07
eq463.txt.smt2; sat           ; 0.03
eq464.txt.smt2; sat           ; 0.07
eq465.txt.smt2; sat           ; 0.04
eq466.txt.smt2; sat           ; 0.02
eq467.txt.smt2; sat           ; 0.04
eq468.txt.smt2; sat           ; 0.06
eq469.txt.smt2; sat           ; 0.07
eq47.txt.smt2; sat            ; 0.04
eq470.txt.smt2; sat           ; 0.04
eq471.txt.smt2; sat           ; 0.07
eq472.txt.smt2; sat           ; 0.07
eq473.txt.smt2; sat           ; 0.08
eq474.txt.smt2; sat           ; 0.1
eq475.txt.smt2; sat           ; 0.09
eq476.txt.smt2; sat           ; 0.05
eq477.txt.smt2; sat           ; 0.05
eq478.txt.smt2; sat           ; 0.04
eq479.txt.smt2; sat           ; 0.07
eq48.txt.smt2; sat            ; 0.06
