#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
eq318.txt.smt2; sat                        ;	 1.33
eq319.txt.smt2; TO                         ;	 TO
eq32.txt.smt2; sat                         ;	 0.07
eq320.txt.smt2; TO                         ;	 TO
eq321.txt.smt2; sat                        ;	 0.19
eq322.txt.smt2; TO                         ;	 TO
eq323.txt.smt2; sat                        ;	 1.43
eq324.txt.smt2; TO                         ;	 TO
eq325.txt.smt2; TO                         ;	 TO
eq326.txt.smt2; sat                        ;	 0.05
eq327.txt.smt2; TO                         ;	 TO
eq328.txt.smt2; sat                        ;	 0.09
eq329.txt.smt2; TO                         ;	 TO
eq33.txt.smt2; TO                          ;	 TO
eq330.txt.smt2; TO                         ;	 TO
eq331.txt.smt2; TO                         ;	 TO
eq332.txt.smt2; sat                        ;	 0.04
eq333.txt.smt2; TO                         ;	 TO
eq334.txt.smt2; sat                        ;	 0.09
eq335.txt.smt2; TO                         ;	 TO
eq336.txt.smt2; sat                        ;	 0.15
eq337.txt.smt2; sat                        ;	 0.1
eq338.txt.smt2; sat                        ;	 4.36
eq339.txt.smt2; sat                        ;	 0.1
eq34.txt.smt2; TO                          ;	 TO
eq340.txt.smt2; sat                        ;	 0.04
eq341.txt.smt2; sat                        ;	 0.05
eq342.txt.smt2; sat                        ;	 1.62
eq343.txt.smt2; sat                        ;	 0.05
eq344.txt.smt2; TO                         ;	 TO
eq345.txt.smt2; sat                        ;	 1.24
eq346.txt.smt2; TO                         ;	 TO
eq347.txt.smt2; sat                        ;	 0.05
eq348.txt.smt2; sat                        ;	 0.14
eq349.txt.smt2; sat                        ;	 0.83
eq35.txt.smt2; sat                         ;	 0.06
eq350.txt.smt2; sat                        ;	 0.04
eq351.txt.smt2; TO                         ;	 TO
eq352.txt.smt2; sat                        ;	 0.06
eq353.txt.smt2; sat                        ;	 0.05
eq354.txt.smt2; sat                        ;	 1.29
eq355.txt.smt2; sat                        ;	 0.18
eq356.txt.smt2; sat                        ;	 0.11
eq357.txt.smt2; TO                         ;	 TO
