# Timeout: 10
# Number of formulas: 1000
Formula; sat; time; check
eq424.txt.smt2; TO            ; TO   ; TO
eq425.txt.smt2; Sat           ; 2.62 ; True
eq426.txt.smt2; TO            ; TO   ; TO
eq427.txt.smt2; TO            ; TO   ; TO
eq428.txt.smt2; TO            ; TO   ; TO
eq429.txt.smt2; TO            ; TO   ; TO
eq43.txt.smt2; TO             ; TO   ; TO
eq430.txt.smt2; TO            ; TO   ; TO
eq431.txt.smt2; TO            ; TO   ; TO
eq432.txt.smt2; TO            ; TO   ; TO
eq433.txt.smt2; TO            ; TO   ; TO
eq434.txt.smt2; TO            ; TO   ; TO
eq435.txt.smt2; TO            ; TO   ; TO
eq436.txt.smt2; TO            ; TO   ; TO
eq437.txt.smt2; TO            ; TO   ; TO
eq438.txt.smt2; TO            ; TO   ; TO
eq439.txt.smt2; TO            ; TO   ; TO
eq44.txt.smt2; TO             ; TO   ; TO
eq440.txt.smt2; TO            ; TO   ; TO
eq441.txt.smt2; TO            ; TO   ; TO
eq442.txt.smt2; TO            ; TO   ; TO
eq443.txt.smt2; TO            ; TO   ; TO
eq444.txt.smt2; TO            ; TO   ; TO
eq445.txt.smt2; TO            ; TO   ; TO
eq446.txt.smt2; TO            ; TO   ; TO
eq447.txt.smt2; TO            ; TO   ; TO
eq448.txt.smt2; Sat           ; 2.68 ; True
eq449.txt.smt2; TO            ; TO   ; TO
eq45.txt.smt2; TO             ; TO   ; TO
eq450.txt.smt2; TO            ; TO   ; TO
eq451.txt.smt2; TO            ; TO   ; TO
eq452.txt.smt2; TO            ; TO   ; TO
eq453.txt.smt2; TO            ; TO   ; TO
eq454.txt.smt2; TO            ; TO   ; TO
eq455.txt.smt2; TO            ; TO   ; TO
eq456.txt.smt2; TO            ; TO   ; TO
eq457.txt.smt2; TO            ; TO   ; TO
eq458.txt.smt2; TO            ; TO   ; TO
eq459.txt.smt2; TO            ; TO   ; TO
eq46.txt.smt2; TO             ; TO   ; TO
eq460.txt.smt2; Sat           ; 2.51 ; True
eq461.txt.smt2; TO            ; TO   ; TO
eq462.txt.smt2; TO            ; TO   ; TO
eq463.txt.smt2; Sat           ; 2.72 ; True
eq464.txt.smt2; TO            ; TO   ; TO
eq465.txt.smt2; TO            ; TO   ; TO
eq466.txt.smt2; Sat           ; 2.64 ; True
eq467.txt.smt2; TO            ; TO   ; TO
eq468.txt.smt2; TO            ; TO   ; TO
eq469.txt.smt2; TO            ; TO   ; TO
eq47.txt.smt2; TO             ; TO   ; TO
eq470.txt.smt2; Sat           ; 2.67 ; True
eq471.txt.smt2; TO            ; TO   ; TO
eq472.txt.smt2; TO            ; TO   ; TO
eq473.txt.smt2; TO            ; TO   ; TO
eq474.txt.smt2; TO            ; TO   ; TO
eq475.txt.smt2; TO            ; TO   ; TO
eq476.txt.smt2; TO            ; TO   ; TO
eq477.txt.smt2; TO            ; TO   ; TO
eq478.txt.smt2; TO            ; TO   ; TO
eq479.txt.smt2; TO            ; TO   ; TO
eq48.txt.smt2; TO             ; TO   ; TO
eq480.txt.smt2; TO            ; TO   ; TO
eq481.txt.smt2; TO            ; TO   ; TO
eq482.txt.smt2; TO            ; TO   ; TO
eq483.txt.smt2; TO            ; TO   ; TO
eq484.txt.smt2; TO            ; TO   ; TO
eq485.txt.smt2; TO            ; TO   ; TO
eq486.txt.smt2; TO            ; TO   ; TO
eq487.txt.smt2; TO            ; TO   ; TO
eq488.txt.smt2; TO            ; TO   ; TO
eq489.txt.smt2; TO            ; TO   ; TO
eq49.txt.smt2; TO             ; TO   ; TO
eq490.txt.smt2; TO            ; TO   ; TO
eq491.txt.smt2; TO            ; TO   ; TO
eq492.txt.smt2; TO            ; TO   ; TO
eq493.txt.smt2; TO            ; TO   ; TO
eq494.txt.smt2; TO            ; TO   ; TO
eq495.txt.smt2; Sat           ; 2.6  ; True
eq496.txt.smt2; TO            ; TO   ; TO
eq497.txt.smt2; TO            ; TO   ; TO
eq498.txt.smt2; TO            ; TO   ; TO
eq499.txt.smt2; TO            ; TO   ; TO
eq5.txt.smt2; TO              ; TO   ; TO
eq50.txt.smt2; TO             ; TO   ; TO
eq500.txt.smt2; TO            ; TO   ; TO
eq501.txt.smt2; TO            ; TO   ; TO
eq502.txt.smt2; TO            ; TO   ; TO
eq503.txt.smt2; Sat           ; 2.66 ; True
eq504.txt.smt2; TO            ; TO   ; TO
eq505.txt.smt2; TO            ; TO   ; TO
eq506.txt.smt2; TO            ; TO   ; TO
eq507.txt.smt2; TO            ; TO   ; TO
eq508.txt.smt2; TO            ; TO   ; TO
eq509.txt.smt2; TO            ; TO   ; TO
eq51.txt.smt2; TO             ; TO   ; TO
eq510.txt.smt2; TO            ; TO   ; TO
