#Timeout: 10
#Number of formulas: 1000
Formula;  sat; time; check
eq-hard.txt.smt2; sat         	;0.6 ;	 True
eq329.txt.smt2; TO            	;TO  ;	 TO
eq33.txt.smt2; TO             	;TO  ;	 TO
eq330.txt.smt2; TO            	;TO  ;	 TO
eq331.txt.smt2; TO            	;TO  ;	 TO
eq332.txt.smt2; sat           	;0.4 ;	 True
eq333.txt.smt2; sat           	;8.91;	 True
eq334.txt.smt2; sat           	;5.36;	 True
eq335.txt.smt2; TO            	;TO  ;	 TO
eq336.txt.smt2; sat           	;8.7 ;	 True
eq337.txt.smt2; TO            	;TO  ;	 TO
eq338.txt.smt2; sat           	;5.19;	 True
eq339.txt.smt2; sat           	;0.4 ;	 True
eq34.txt.smt2; TO             	;TO  ;	 TO
eq340.txt.smt2; sat           	;0.4 ;	 True
eq341.txt.smt2; sat           	;0.39;	 True
eq342.txt.smt2; sat           	;5.14;	 True
eq343.txt.smt2; sat           	;0.25;	 True
eq344.txt.smt2; TO            	;TO  ;	 TO
eq345.txt.smt2; TO            	;TO  ;	 TO
eq346.txt.smt2; TO            	;TO  ;	 TO
eq347.txt.smt2; sat           	;4.34;	 True
eq348.txt.smt2; TO            	;TO  ;	 TO
eq349.txt.smt2; sat           	;5.08;	 True
eq35.txt.smt2; sat            	;9.28;	 True
eq350.txt.smt2; sat           	;0.29;	 True
eq351.txt.smt2; TO            	;TO  ;	 TO
eq352.txt.smt2; sat           	;9.08;	 True
eq353.txt.smt2; sat           	;0.35;	 True
eq354.txt.smt2; TO            	;TO  ;	 TO
eq355.txt.smt2; sat           	;4.98;	 True
eq356.txt.smt2; sat           	;9.22;	 True
eq357.txt.smt2; TO            	;TO  ;	 TO
eq358.txt.smt2; sat           	;0.39;	 True
eq359.txt.smt2; TO            	;TO  ;	 TO
eq36.txt.smt2; sat            	;8.72;	 True
eq360.txt.smt2; TO            	;TO  ;	 TO
eq361.txt.smt2; sat           	;5.12;	 True
eq362.txt.smt2; sat           	;8.79;	 True
eq363.txt.smt2; TO            	;TO  ;	 TO
eq364.txt.smt2; TO            	;TO  ;	 TO
eq365.txt.smt2; sat           	;7.54;	 True
eq366.txt.smt2; sat           	;5.29;	 True
eq367.txt.smt2; sat           	;4.35;	 True
eq368.txt.smt2; sat           	;4.33;	 True
eq369.txt.smt2; sat           	;3.27;	 True
eq37.txt.smt2; sat            	;5.09;	 True
eq370.txt.smt2; TO            	;TO  ;	 TO
eq371.txt.smt2; TO            	;TO  ;	 TO
eq372.txt.smt2; sat           	;5.27;	 True
eq373.txt.smt2; TO            	;TO  ;	 TO
eq374.txt.smt2; sat           	;0.4 ;	 True
eq375.txt.smt2; sat           	;8.92;	 True
eq376.txt.smt2; sat           	;3.26;	 True
eq377.txt.smt2; TO            	;TO  ;	 TO
eq378.txt.smt2; TO            	;TO  ;	 TO
eq379.txt.smt2; sat           	;0.39;	 True
eq38.txt.smt2; sat            	;7.83;	 True
eq380.txt.smt2; TO            	;TO  ;	 TO
eq381.txt.smt2; TO            	;TO  ;	 TO
eq382.txt.smt2; TO            	;TO  ;	 TO
eq383.txt.smt2; TO            	;TO  ;	 TO
eq384.txt.smt2; TO            	;TO  ;	 TO
eq385.txt.smt2; TO            	;TO  ;	 TO
eq386.txt.smt2; TO            	;TO  ;	 TO
eq387.txt.smt2; TO            	;TO  ;	 TO
eq388.txt.smt2; sat           	;9.16;	 True
eq389.txt.smt2; TO            	;TO  ;	 TO
eq39.txt.smt2; sat            	;8.82;	 True
eq390.txt.smt2; sat           	;0.29;	 True
eq391.txt.smt2; TO            	;TO  ;	 TO
eq392.txt.smt2; sat           	;3.21;	 True
eq393.txt.smt2; sat           	;0.29;	 True
eq394.txt.smt2; sat           	;0.39;	 True
eq395.txt.smt2; TO            	;TO  ;	 TO
eq396.txt.smt2; sat           	;4.45;	 True
eq397.txt.smt2; sat           	;9.25;	 True
eq398.txt.smt2; sat           	;9.27;	 True
eq399.txt.smt2; TO            	;TO  ;	 TO
eq4.txt.smt2; sat             	;5.31;	 True
eq40.txt.smt2; sat            	;8.88;	 True
eq400.txt.smt2; sat           	;4.96;	 True
eq401.txt.smt2; sat           	;9.36;	 True
eq402.txt.smt2; TO            	;TO  ;	 TO
eq403.txt.smt2; sat           	;0.29;	 True
eq404.txt.smt2; sat           	;8.96;	 True
eq405.txt.smt2; sat           	;8.76;	 True
eq406.txt.smt2; TO            	;TO  ;	 TO
eq407.txt.smt2; sat           	;0.34;	 True
eq408.txt.smt2; TO            	;TO  ;	 TO
eq409.txt.smt2; sat           	;7.83;	 True
eq41.txt.smt2; sat            	;8.86;	 True
eq410.txt.smt2; sat           	;3.31;	 True
eq411.txt.smt2; sat           	;6.06;	 True
eq412.txt.smt2; sat           	;8.79;	 True
eq413.txt.smt2; TO            	;TO  ;	 TO
eq414.txt.smt2; sat           	;8.71;	 True
eq415.txt.smt2; TO            	;TO  ;	 TO
eq416.txt.smt2; TO            	;TO  ;	 TO
eq417.txt.smt2; TO            	;TO  ;	 TO
eq418.txt.smt2; sat           	;5.22;	 True
eq419.txt.smt2; sat           	;0.39;	 True
eq42.txt.smt2; sat            	;0.29;	 True
eq420.txt.smt2; sat           	;0.4 ;	 True
eq421.txt.smt2; sat           	;5.21;	 True
eq422.txt.smt2; TO            	;TO  ;	 TO
eq423.txt.smt2; sat           	;3.15;	 True
eq424.txt.smt2; sat           	;9.24;	 True
eq425.txt.smt2; sat           	;0.39;	 True
eq426.txt.smt2; sat           	;9.12;	 True
eq427.txt.smt2; sat           	;5.3 ;	 True
eq428.txt.smt2; sat           	;4.29;	 True
eq429.txt.smt2; TO            	;TO  ;	 TO
eq43.txt.smt2; sat            	;4.37;	 True
eq430.txt.smt2; TO            	;TO  ;	 TO
eq431.txt.smt2; TO            	;TO  ;	 TO
eq432.txt.smt2; sat           	;4.43;	 True
eq433.txt.smt2; sat           	;5.24;	 True
eq434.txt.smt2; TO            	;TO  ;	 TO
eq435.txt.smt2; TO            	;TO  ;	 TO
eq436.txt.smt2; sat           	;5.07;	 True
eq437.txt.smt2; TO            	;TO  ;	 TO
eq438.txt.smt2; TO            	;TO  ;	 TO
eq439.txt.smt2; sat           	;9.2 ;	 True
eq44.txt.smt2; TO             	;TO  ;	 TO
eq440.txt.smt2; sat           	;4.5 ;	 True
eq441.txt.smt2; sat           	;7.75;	 True
eq442.txt.smt2; TO            	;TO  ;	 TO
eq443.txt.smt2; sat           	;3.12;	 True
eq444.txt.smt2; sat           	;4.33;	 True
eq445.txt.smt2; TO            	;TO  ;	 TO
eq446.txt.smt2; TO            	;TO  ;	 TO
eq447.txt.smt2; TO            	;TO  ;	 TO
eq448.txt.smt2; sat           	;0.4 ;	 True
eq449.txt.smt2; sat           	;5.06;	 True
eq45.txt.smt2; sat            	;9.17;	 True
eq450.txt.smt2; TO            	;TO  ;	 TO
eq451.txt.smt2; sat           	;3.3 ;	 True
eq452.txt.smt2; TO            	;TO  ;	 TO
eq453.txt.smt2; sat           	;9.0 ;	 True
eq454.txt.smt2; sat           	;9.29;	 True
eq455.txt.smt2; TO            	;TO  ;	 TO
eq456.txt.smt2; sat           	;3.15;	 True
eq457.txt.smt2; sat           	;3.03;	 True
eq458.txt.smt2; TO            	;TO  ;	 TO
eq459.txt.smt2; sat           	;5.11;	 True
eq46.txt.smt2; TO             	;TO  ;	 TO
eq460.txt.smt2; sat           	;0.4 ;	 True
eq461.txt.smt2; TO            	;TO  ;	 TO
eq462.txt.smt2; TO            	;TO  ;	 TO
eq463.txt.smt2; sat           	;0.34;	 True
eq464.txt.smt2; sat           	;8.92;	 True
eq465.txt.smt2; sat           	;5.0 ;	 True
eq466.txt.smt2; sat           	;0.4 ;	 True
eq467.txt.smt2; TO            	;TO  ;	 TO
eq468.txt.smt2; sat           	;6.74;	 True
eq469.txt.smt2; sat           	;5.1 ;	 True
eq47.txt.smt2; TO             	;TO  ;	 TO
eq470.txt.smt2; sat           	;0.4 ;	 True
eq471.txt.smt2; TO            	;TO  ;	 TO
eq472.txt.smt2; sat           	;5.25;	 True
eq473.txt.smt2; TO            	;TO  ;	 TO
eq474.txt.smt2; TO            	;TO  ;	 TO
eq475.txt.smt2; TO            	;TO  ;	 TO
eq476.txt.smt2; sat           	;3.15;	 True
eq477.txt.smt2; TO            	;TO  ;	 TO
eq478.txt.smt2; sat           	;3.15;	 True
eq479.txt.smt2; sat           	;9.0 ;	 True
eq48.txt.smt2; sat            	;8.63;	 True
eq480.txt.smt2; TO            	;TO  ;	 TO
eq481.txt.smt2; sat           	;5.08;	 True
eq482.txt.smt2; TO            	;TO  ;	 TO
eq483.txt.smt2; TO            	;TO  ;	 TO
eq484.txt.smt2; TO            	;TO  ;	 TO
eq485.txt.smt2; sat           	;7.85;	 True
eq486.txt.smt2; sat           	;3.11;	 True
eq487.txt.smt2; sat           	;8.85;	 True
eq488.txt.smt2; sat           	;5.32;	 True
eq489.txt.smt2; sat           	;5.19;	 True
eq49.txt.smt2; TO             	;TO  ;	 TO
eq490.txt.smt2; sat           	;9.02;	 True
eq491.txt.smt2; TO            	;TO  ;	 TO
eq492.txt.smt2; TO            	;TO  ;	 TO
eq493.txt.smt2; sat           	;8.88;	 True
eq494.txt.smt2; sat           	;5.13;	 True
eq495.txt.smt2; sat           	;0.34;	 True
eq496.txt.smt2; sat           	;6.38;	 True
eq497.txt.smt2; TO            	;TO  ;	 TO
eq498.txt.smt2; TO            	;TO  ;	 TO
eq499.txt.smt2; sat           	;9.16;	 True
eq5.txt.smt2; sat             	;8.97;	 True
eq50.txt.smt2; sat            	;4.98;	 True
eq500.txt.smt2; TO            	;TO  ;	 TO
eq501.txt.smt2; TO            	;TO  ;	 TO
eq502.txt.smt2; TO            	;TO  ;	 TO
eq503.txt.smt2; sat           	;0.4 ;	 True
eq504.txt.smt2; sat           	;5.13;	 True
eq505.txt.smt2; TO            	;TO  ;	 TO
eq506.txt.smt2; sat           	;8.83;	 True
eq507.txt.smt2; sat           	;4.29;	 True
eq508.txt.smt2; TO            	;TO  ;	 TO
eq509.txt.smt2; TO            	;TO  ;	 TO
eq51.txt.smt2; TO             	;TO  ;	 TO
eq510.txt.smt2; TO            	;TO  ;	 TO
eq511.txt.smt2; TO            	;TO  ;	 TO
eq512.txt.smt2; TO            	;TO  ;	 TO
eq513.txt.smt2; TO            	;TO  ;	 TO
eq514.txt.smt2; TO            	;TO  ;	 TO
eq515.txt.smt2; sat           	;4.4 ;	 True
eq516.txt.smt2; TO            	;TO  ;	 TO
eq517.txt.smt2; TO            	;TO  ;	 TO
eq518.txt.smt2; sat           	;4.41;	 True
eq519.txt.smt2; sat           	;8.91;	 True
eq52.txt.smt2; TO             	;TO  ;	 TO
eq520.txt.smt2; TO            	;TO  ;	 TO
eq521.txt.smt2; TO            	;TO  ;	 TO
eq522.txt.smt2; sat           	;4.97;	 True
eq523.txt.smt2; TO            	;TO  ;	 TO
eq524.txt.smt2; sat           	;2.39;	 True
eq525.txt.smt2; TO            	;TO  ;	 TO
eq526.txt.smt2; sat           	;5.94;	 True
eq527.txt.smt2; sat           	;4.52;	 True
eq528.txt.smt2; sat           	;0.4 ;	 True
eq529.txt.smt2; TO            	;TO  ;	 TO
eq53.txt.smt2; sat            	;5.09;	 True
eq530.txt.smt2; sat           	;4.39;	 True
eq531.txt.smt2; sat           	;0.26;	 True
eq532.txt.smt2; TO            	;TO  ;	 TO
eq533.txt.smt2; sat           	;0.39;	 True
eq534.txt.smt2; sat           	;8.8 ;	 True
eq535.txt.smt2; TO            	;TO  ;	 TO
eq536.txt.smt2; sat           	;0.39;	 True
eq537.txt.smt2; TO            	;TO  ;	 TO
eq538.txt.smt2; sat           	;0.34;	 True
eq539.txt.smt2; sat           	;0.4 ;	 True
eq54.txt.smt2; TO             	;TO  ;	 TO
eq540.txt.smt2; TO            	;TO  ;	 TO
eq541.txt.smt2; sat           	;8.92;	 True
eq542.txt.smt2; sat           	;7.69;	 True
eq543.txt.smt2; sat           	;5.12;	 True
eq544.txt.smt2; TO            	;TO  ;	 TO
eq545.txt.smt2; sat           	;4.3 ;	 True
eq546.txt.smt2; TO            	;TO  ;	 TO
eq547.txt.smt2; TO            	;TO  ;	 TO
eq548.txt.smt2; TO            	;TO  ;	 TO
eq549.txt.smt2; TO            	;TO  ;	 TO
eq55.txt.smt2; TO             	;TO  ;	 TO
eq550.txt.smt2; TO            	;TO  ;	 TO
eq551.txt.smt2; sat           	;6.25;	 True
eq552.txt.smt2; TO            	;TO  ;	 TO
eq553.txt.smt2; sat           	;0.29;	 True
eq554.txt.smt2; sat           	;0.39;	 True
eq555.txt.smt2; TO            	;TO  ;	 TO
eq556.txt.smt2; sat           	;8.88;	 True
eq557.txt.smt2; sat           	;0.39;	 True
eq558.txt.smt2; TO            	;TO  ;	 TO
eq559.txt.smt2; TO            	;TO  ;	 TO
eq56.txt.smt2; sat            	;0.4 ;	 True
eq560.txt.smt2; sat           	;9.03;	 True
eq561.txt.smt2; sat           	;5.13;	 True
eq562.txt.smt2; TO            	;TO  ;	 TO
eq563.txt.smt2; TO            	;TO  ;	 TO
eq564.txt.smt2; TO            	;TO  ;	 TO
eq565.txt.smt2; sat           	;0.34;	 True
eq566.txt.smt2; TO            	;TO  ;	 TO
eq567.txt.smt2; sat           	;5.9 ;	 True
