Timeout: 150
Number of formulas: 1000
Formula: time, sat
eq518.txt: Sat	 93.99
eq519.txt: TO	 TO
eq52.txt: TO	 TO
eq520.txt: TO	 TO
eq521.txt: TO	 TO
eq522.txt: Sat	 115.37
eq523.txt: TO	 TO
eq524.txt: Sat	 81.73
eq525.txt: TO	 TO
eq526.txt: TO	 TO
eq527.txt: Sat	 99.68
eq528.txt: Sat	 2.37
eq529.txt: TO	 TO
eq53.txt: Sat	 115.59
eq530.txt: Sat	 95.36
eq531.txt: Sat	 1.93
eq532.txt: TO	 TO
eq533.txt: Sat	 2.41
eq534.txt: TO	 TO
eq535.txt: TO	 TO
eq536.txt: Sat	 2.43
eq537.txt: TO	 TO
eq538.txt: Sat	 2.41
eq539.txt: Sat	 2.39
eq54.txt: TO	 TO
eq540.txt: TO	 TO
eq541.txt: TO	 TO
eq542.txt: TO	 TO
eq543.txt: Sat	 115.38
eq544.txt: TO	 TO
eq545.txt: Sat	 96.34
eq546.txt: TO	 TO
eq547.txt: TO	 TO
eq548.txt: TO	 TO
eq549.txt: TO	 TO
eq55.txt: TO	 TO
eq550.txt: TO	 TO
eq551.txt: TO	 TO
eq552.txt: TO	 TO
eq553.txt: Sat	 1.8
eq554.txt: Sat	 2.43
eq555.txt: TO	 TO
eq556.txt: TO	 TO
eq557.txt: Sat	 2.39
eq558.txt: TO	 TO
eq559.txt: TO	 TO
eq56.txt: Sat	 2.38
eq560.txt: TO	 TO
eq561.txt: Sat	 115.05
eq562.txt: TO	 TO
eq563.txt: TO	 TO
eq564.txt: TO	 TO
eq565.txt: Sat	 2.37
eq566.txt: TO	 TO
eq567.txt: TO	 TO
eq568.txt: Sat	 2.41
eq569.txt: Sat	 13.33
eq57.txt: TO	 TO
eq570.txt: TO	 TO
eq571.txt: Sat	 2.46
eq572.txt: Sat	 2.41
eq573.txt: TO	 TO
eq574.txt: Sat	 2.41
eq575.txt: TO	 TO
eq576.txt: Sat	 114.2
eq577.txt: Sat	 118.43
eq578.txt: TO	 TO
eq579.txt: TO	 TO
eq58.txt: TO	 TO
eq580.txt: TO	 TO
eq581.txt: Sat	 2.37
eq582.txt: TO	 TO
eq583.txt: TO	 TO
eq584.txt: TO	 TO
eq585.txt: TO	 TO
eq586.txt: TO	 TO
eq587.txt: Sat	 93.02
eq588.txt: TO	 TO
eq589.txt: Sat	 96.77
eq59.txt: TO	 TO
eq590.txt: TO	 TO
eq591.txt: TO	 TO
eq592.txt: TO	 TO
eq593.txt: TO	 TO
eq594.txt: TO	 TO
eq595.txt: TO	 TO
eq596.txt: TO	 TO
eq597.txt: TO	 TO
eq598.txt: Sat	 100.34
eq599.txt: Sat	 2.38
eq6.txt: Sat	 119.4
eq60.txt: TO	 TO
eq600.txt: TO	 TO
eq601.txt: TO	 TO
eq602.txt: TO	 TO
eq603.txt: TO	 TO
eq604.txt: Sat	 2.38
eq605.txt: Sat	 109.66
eq606.txt: TO	 TO
eq607.txt: Sat	 96.82
eq608.txt: Sat	 117.86
eq609.txt: TO	 TO
eq61.txt: Sat	 117.93
eq610.txt: TO	 TO
eq611.txt: Sat	 99.32
eq612.txt: TO	 TO
eq613.txt: TO	 TO
eq614.txt: TO	 TO
eq615.txt: TO	 TO
eq616.txt: TO	 TO
eq617.txt: TO	 TO
eq618.txt: TO	 TO
eq619.txt: TO	 TO
eq62.txt: Sat	 110.43
eq620.txt: TO	 TO
eq621.txt: TO	 TO
eq622.txt: TO	 TO
eq623.txt: Sat	 2.43
eq624.txt: Sat	 115.26
eq625.txt: TO	 TO
eq626.txt: TO	 TO
eq627.txt: Sat	 2.4
eq628.txt: TO	 TO
eq629.txt: Sat	 2.27
eq63.txt: Sat	 2.03
eq630.txt: TO	 TO
eq631.txt: TO	 TO
eq632.txt: TO	 TO
eq633.txt: Sat	 2.44
eq634.txt: Sat	 2.37
eq635.txt: Sat	 117.96
eq636.txt: Sat	 114.63
eq637.txt: TO	 TO
