Timeout: 10
Number of formulas: 1000
Formula: time, sat
eq828.txt: Sat	 5.77
eq829.txt: TO	 TO
eq83.txt: TO	 TO
eq830.txt: TO	 TO
eq831.txt: TO	 TO
eq832.txt: TO	 TO
eq833.txt: TO	 TO
eq834.txt: Sat	 5.6
eq835.txt: TO	 TO
eq836.txt: TO	 TO
eq837.txt: TO	 TO
eq838.txt: TO	 TO
eq839.txt: TO	 TO
eq84.txt: TO	 TO
eq840.txt: TO	 TO
eq841.txt: TO	 TO
eq842.txt: TO	 TO
eq843.txt: TO	 TO
eq844.txt: Sat	 5.65
eq845.txt: TO	 TO
eq846.txt: TO	 TO
eq847.txt: TO	 TO
eq848.txt: TO	 TO
eq849.txt: TO	 TO
eq85.txt: TO	 TO
eq850.txt: TO	 TO
eq851.txt: TO	 TO
eq852.txt: Sat	 7.64
eq853.txt: TO	 TO
eq854.txt: TO	 TO
eq855.txt: TO	 TO
eq856.txt: TO	 TO
eq857.txt: Sat	 5.71
eq858.txt: TO	 TO
eq859.txt: TO	 TO
eq86.txt: TO	 TO
eq860.txt: TO	 TO
eq861.txt: TO	 TO
eq862.txt: TO	 TO
eq863.txt: TO	 TO
eq864.txt: TO	 TO
eq865.txt: TO	 TO
eq866.txt: TO	 TO
eq867.txt: TO	 TO
eq868.txt: Sat	 5.53
eq869.txt: TO	 TO
eq87.txt: TO	 TO
eq870.txt: TO	 TO
eq871.txt: TO	 TO
eq872.txt: TO	 TO
eq873.txt: TO	 TO
eq874.txt: TO	 TO
eq875.txt: TO	 TO
eq876.txt: TO	 TO
eq877.txt: TO	 TO
eq878.txt: TO	 TO
eq879.txt: TO	 TO
eq88.txt: TO	 TO
eq880.txt: TO	 TO
eq881.txt: TO	 TO
eq882.txt: TO	 TO
eq883.txt: TO	 TO
eq884.txt: TO	 TO
eq885.txt: TO	 TO
eq886.txt: TO	 TO
eq887.txt: TO	 TO
eq888.txt: TO	 TO
eq889.txt: TO	 TO
eq89.txt: TO	 TO
eq890.txt: TO	 TO
eq891.txt: TO	 TO
eq892.txt: TO	 TO
eq893.txt: TO	 TO
eq894.txt: TO	 TO
eq895.txt: TO	 TO
eq896.txt: TO	 TO
eq897.txt: TO	 TO
eq9.txt: TO	 TO
eq90.txt: TO	 TO
eq91.txt: TO	 TO
eq92.txt: TO	 TO
eq93.txt: TO	 TO
eq94.txt: TO	 TO
eq95.txt: TO	 TO
eq96.txt: TO	 TO
eq97.txt: TO	 TO
eq98.txt: TO	 TO
eq99.txt: TO	 TO
