Timeout: 150
Number of formulas: 1000
Formula: time, sat
eq518.txt: Sat	 47.02
eq519.txt: TO	 TO
eq52.txt: TO	 TO
eq520.txt: TO	 TO
eq521.txt: TO	 TO
eq522.txt: Sat	 59.27
eq523.txt: TO	 TO
eq524.txt: Sat	 38.7
eq525.txt: TO	 TO
eq526.txt: TO	 TO
eq527.txt: Sat	 58.29
eq528.txt: Sat	 2.5
eq529.txt: TO	 TO
eq53.txt: Sat	 58.57
eq530.txt: Sat	 46.9
eq531.txt: Sat	 1.88
eq532.txt: TO	 TO
eq533.txt: Sat	 2.44
eq534.txt: TO	 TO
eq535.txt: TO	 TO
eq536.txt: Sat	 2.47
eq537.txt: TO	 TO
eq538.txt: Sat	 2.53
eq539.txt: Sat	 2.48
eq54.txt: TO	 TO
eq540.txt: TO	 TO
eq541.txt: TO	 TO
eq542.txt: TO	 TO
eq543.txt: Sat	 60.68
eq544.txt: TO	 TO
eq545.txt: Sat	 57.02
eq546.txt: TO	 TO
eq547.txt: TO	 TO
eq548.txt: TO	 TO
eq549.txt: TO	 TO
eq55.txt: TO	 TO
eq550.txt: TO	 TO
eq551.txt: TO	 TO
eq552.txt: TO	 TO
eq553.txt: Sat	 1.91
eq554.txt: Sat	 2.45
eq555.txt: TO	 TO
eq556.txt: TO	 TO
eq557.txt: Sat	 2.33
eq558.txt: TO	 TO
eq559.txt: TO	 TO
eq56.txt: Sat	 2.46
eq560.txt: TO	 TO
eq561.txt: Sat	 59.79
eq562.txt: TO	 TO
eq563.txt: TO	 TO
eq564.txt: TO	 TO
eq565.txt: Sat	 2.35
eq566.txt: TO	 TO
eq567.txt: TO	 TO
eq568.txt: Sat	 2.45
eq569.txt: Sat	 11.87
eq57.txt: TO	 TO
eq570.txt: TO	 TO
eq571.txt: Sat	 2.54
eq572.txt: Sat	 2.4
eq573.txt: TO	 TO
eq574.txt: Sat	 2.35
eq575.txt: TO	 TO
eq576.txt: Sat	 58.83
eq577.txt: Sat	 60.36
eq578.txt: TO	 TO
eq579.txt: TO	 TO
eq58.txt: TO	 TO
eq580.txt: TO	 TO
eq581.txt: Sat	 2.37
eq582.txt: TO	 TO
eq583.txt: TO	 TO
eq584.txt: TO	 TO
eq585.txt: TO	 TO
eq586.txt: TO	 TO
eq587.txt: Sat	 47.55
eq588.txt: TO	 TO
eq589.txt: Sat	 57.68
eq59.txt: TO	 TO
eq590.txt: TO	 TO
eq591.txt: TO	 TO
eq592.txt: TO	 TO
eq593.txt: TO	 TO
eq594.txt: TO	 TO
eq595.txt: TO	 TO
eq596.txt: TO	 TO
eq597.txt: TO	 TO
eq598.txt: Sat	 57.75
eq599.txt: Sat	 2.54
eq6.txt: Sat	 59.11
eq60.txt: TO	 TO
eq600.txt: TO	 TO
eq601.txt: TO	 TO
eq602.txt: TO	 TO
eq603.txt: TO	 TO
eq604.txt: Sat	 2.46
eq605.txt: Sat	 55.92
eq606.txt: TO	 TO
eq607.txt: Sat	 59.5
eq608.txt: Sat	 58.11
eq609.txt: TO	 TO
eq61.txt: Sat	 60.99
eq610.txt: TO	 TO
eq611.txt: Sat	 57.58
eq612.txt: TO	 TO
eq613.txt: TO	 TO
eq614.txt: TO	 TO
eq615.txt: TO	 TO
eq616.txt: TO	 TO
eq617.txt: TO	 TO
eq618.txt: TO	 TO
eq619.txt: TO	 TO
eq62.txt: Sat	 56.48
eq620.txt: TO	 TO
eq621.txt: TO	 TO
eq622.txt: TO	 TO
eq623.txt: Sat	 2.48
eq624.txt: Sat	 59.1
eq625.txt: TO	 TO
eq626.txt: TO	 TO
eq627.txt: Sat	 2.53
eq628.txt: TO	 TO
eq629.txt: Sat	 2.35
eq63.txt: Sat	 1.91
eq630.txt: TO	 TO
eq631.txt: TO	 TO
eq632.txt: TO	 TO
eq633.txt: Sat	 2.56
eq634.txt: Sat	 2.45
eq635.txt: Sat	 59.53
eq636.txt: Sat	 59.96
eq637.txt: TO	 TO
eq638.txt: TO	 TO
eq639.txt: TO	 TO
eq64.txt: TO	 TO
eq640.txt: Sat	 2.49
eq641.txt: TO	 TO
eq642.txt: Sat	 2.47
eq643.txt: TO	 TO
eq644.txt: TO	 TO
eq645.txt: TO	 TO
eq646.txt: Sat	 60.72
eq647.txt: TO	 TO
eq648.txt: TO	 TO
eq649.txt: Sat	 58.79
eq65.txt: Sat	 56.09
eq650.txt: Sat	 2.48
eq651.txt: TO	 TO
eq652.txt: TO	 TO
eq653.txt: TO	 TO
eq654.txt: Sat	 2.35
eq655.txt: TO	 TO
eq656.txt: TO	 TO
eq657.txt: TO	 TO
eq658.txt: TO	 TO
eq659.txt: TO	 TO
eq66.txt: TO	 TO
eq660.txt: Sat	 38.92
eq661.txt: Sat	 2.47
eq662.txt: TO	 TO
eq663.txt: Sat	 60.18
eq664.txt: TO	 TO
eq665.txt: Sat	 60.89
eq666.txt: TO	 TO
eq667.txt: TO	 TO
eq668.txt: Sat	 61.01
eq669.txt: Sat	 59.24
eq67.txt: TO	 TO
eq670.txt: TO	 TO
eq671.txt: Sat	 2.5
eq672.txt: TO	 TO
eq673.txt: Sat	 54.84
eq674.txt: Sat	 2.51
