#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
quad-length-004-2-unsat.smt2; TO     ;	 TO
quad-length-005-2-sat.smt2; TO       ;	 TO
quad-length-006-2-unsat.smt2; unsat  ;	 0.03
quad-length-007-2-sat.smt2; TO       ;	 TO
quad-length-008-2-unsat.smt2; unsat  ;	 0.03
quad-length-009-2-sat.smt2; TO       ;	 TO
quad-length-010-2-unsat.smt2; unsat  ;	 0.03
quad-length-011-2-sat.smt2; TO       ;	 TO
quad-length-012-2-unsat.smt2; unsat  ;	 0.03
quad-length-013-2-2-sat.smt2; TO     ;	 TO
quad-length-014-2-2-unsat.smt2; unsat;	 0.03
quad-length-015-2-3-sat.smt2; TO     ;	 TO
quad-length-016-2-3-unsat.smt2; TO   ;	 TO
quad-length-017-2-4-sat.smt2; TO     ;	 TO
quad-length-018-2-4-unsat.smt2; unsat;	 0.03
quad-length-019-2-4-sat.smt2; TO     ;	 TO
quad-length-020-2-4-unsat.smt2; unsat;	 0.03
quad-length-021-3-sat.smt2; TO       ;	 TO
quad-length-022-3-unsat.smt2; unsat  ;	 0.03
quad-length-023-3-sat.smt2; TO       ;	 TO
quad-length-024-3-unsat.smt2; unsat  ;	 0.04
quad-length-025-2-2-sat.smt2; TO     ;	 TO
quad-length-026-2-2-unsat.smt2; TO   ;	 TO
quad-length-027-2-2-sat.smt2; TO     ;	 TO
quad-length-028-2-2-unsat.smt2; unsat;	 0.03
quad-length-029-3-1-sat.smt2; TO     ;	 TO
quad-length-030-3-1-unsat.smt2; unsat;	 0.04
quad-length-031-3-1-sat.smt2; TO     ;	 TO
quad-length-032-3-1-unsat.smt2; TO   ;	 TO
quad-length-033-3-2-sat.smt2; TO     ;	 TO
quad-length-034-3-2-unsat.smt2; TO   ;	 TO
quad-length-035-3-2-sat.smt2; TO     ;	 TO
quad-length-036-3-2-unsat.smt2; TO   ;	 TO
quad-length-037-3-2-sat.smt2; TO     ;	 TO
quad-length-038-3-2-unsat.smt2; TO   ;	 TO
quad-length-039-3-3-sat.smt2; TO     ;	 TO
quad-length-040-3-3-unsat.smt2; TO   ;	 TO
quad-length-041-3-4-sat.smt2; TO     ;	 TO
quad-length-042-3-4-unsat.smt2; TO   ;	 TO
quad-length-043-3-5-sat.smt2; TO     ;	 TO
quad-length-044-3-5-unsat.smt2; TO   ;	 TO
quad-length-045-3-6-sat.smt2; TO     ;	 TO
quad-length-046-3-6-unsat.smt2; TO   ;	 TO
quad-length-047-3-7-sat.smt2; TO     ;	 TO
quad-length-048-3-7-unsat.smt2; TO   ;	 TO
quad-length-049-3-7-sat.smt2; TO     ;	 TO
quad-length-050-3-7-unsat.smt2; TO   ;	 TO
quad-length-051-3-7-sat.smt2; TO     ;	 TO
quad-length-052-3-7-unsat.smt2; TO   ;	 TO
quad-length-053-3-7-sat.smt2; TO     ;	 TO
quad-length-054-3-7-unsat.smt2; TO   ;	 TO
quad-length-055-3-7-sat.smt2; TO     ;	 TO
quad-length-056-3-7-unsat.smt2; TO   ;	 TO
quad-length-057-3-7-sat.smt2; TO     ;	 TO
quad-length-058-3-7-unsat.smt2; TO   ;	 TO
quad-length-059-3-7-sat.smt2; TO     ;	 TO
quad-length-060-3-7-unsat.smt2; TO   ;	 TO
quad-length-061-4-0-sat.smt2; TO     ;	 TO
quad-length-062-4-0-unsat.smt2; TO   ;	 TO
quad-length-063-4-0-sat.smt2; TO     ;	 TO
quad-length-064-4-0-unsat.smt2; TO   ;	 TO
quad-length-065-4-1-sat.smt2; TO     ;	 TO
quad-length-066-4-1-unsat.smt2; TO   ;	 TO
quad-length-067-4-1-sat.smt2; TO     ;	 TO
quad-length-068-4-1-unsat.smt2; TO   ;	 TO
quad-length-069-4-1-sat.smt2; TO     ;	 TO
quad-length-070-4-1-unsat.smt2; TO   ;	 TO
quad-length-071-4-1-sat.smt2; TO     ;	 TO
quad-length-072-4-1-unsat.smt2; TO   ;	 TO
quad-length-073-4-1-sat.smt2; TO     ;	 TO
quad-length-074-4-1-unsat.smt2; TO   ;	 TO
quad-length-075-4-2-sat.smt2; TO     ;	 TO
quad-length-076-4-2-unsat.smt2; TO   ;	 TO
quad-length-077-4-2-sat.smt2; TO     ;	 TO
quad-length-078-4-2-unsat.smt2; TO   ;	 TO
quad-length-079-4-2-sat.smt2; TO     ;	 TO
quad-length-080-4-2-unsat.smt2; TO   ;	 TO
quad-length-081-4-2-sat.smt2; TO     ;	 TO
quad-length-082-4-2-unsat.smt2; TO   ;	 TO
quad-length-083-4-3-sat.smt2; TO     ;	 TO
quad-length-084-4-3-unsat.smt2; TO   ;	 TO
quad-length-085-4-3-sat.smt2; TO     ;	 TO
quad-length-086-4-3-unsat.smt2; TO   ;	 TO
quad-length-087-4-4-sat.smt2; TO     ;	 TO
quad-length-088-4-4-unsat.smt2; TO   ;	 TO
quad-length-089-4-4-sat.smt2; TO     ;	 TO
quad-length-090-4-4-unsat.smt2; TO   ;	 TO
quad-length-091-4-0-sat.smt2; TO     ;	 TO
quad-length-092-4-0-unsat.smt2; TO   ;	 TO
quad-length-093-4-1-sat.smt2; TO     ;	 TO
